func_module_number	go_slim_pir
433	GO:0050896
434	GO:0050789
435	GO:0006396
439	GO:0022607;GO:0007155
441	GO:0050789;GO:0016043
443	GO:0016043
452	GO:0016070;GO:0000375;GO:0065003
455	GO:0007059
456	GO:0016070;GO:0042254;GO:0006396
460	GO:0016192;GO:0002376;GO:0001775;GO:0006793;GO:0036211;GO:0050789
461	GO:0002376;GO:0001775;GO:0006793;GO:0036211;GO:0050789;GO:0006629;GO:0050896
465	GO:0045229;GO:0043062
468	GO:0015669
471	GO:0008150
474	GO:0016192;GO:0006914;GO:0051641;GO:0022607;GO:0007033;GO:0050896;GO:0022411
475	GO:0050789;GO:0050896;GO:0007005
476	GO:0050789
477	GO:0016043
479	GO:0008150
480	GO:0050789;GO:0006351;GO:0050896
481	GO:0002376;GO:0001775;GO:0050789;GO:0050896;GO:0032502
484	GO:0006793
485	GO:0006520;GO:0006082
486	GO:0006520;GO:0009117;GO:0006082
488	GO:0009117;GO:0006082
492	GO:0016070;GO:0050789;GO:0000375
493	GO:0006396
496	GO:0006281;GO:0050789;GO:0006260;GO:0051276
497	GO:0006281;GO:0006260
498	GO:0016070;GO:0042254;GO:0006396
499	GO:0016070;GO:0006396
502	GO:0042440
503	GO:0022414;GO:0009057;GO:0036211;GO:0050789;GO:0006508;GO:0007049
506	GO:0006629
509	GO:0006996
511	GO:0051234;GO:0051640;GO:0050789;GO:0051276;GO:0007059
512	GO:0016192;GO:0046903;GO:0050789;GO:0016050;GO:0007033;GO:0015031;GO:0061024
513	GO:0050789;GO:0006936;GO:0050896;GO:0006811
514	GO:0006793;GO:0036211
515	GO:0050789;GO:0065009;GO:0050896
516	GO:0050789
517	GO:0050789;GO:0065003
519	GO:0016192;GO:0016043;GO:0051641
520	GO:0009057;GO:0050789;GO:0006508;GO:0050896
521	GO:0050789;GO:0032501;GO:0032502
524	GO:0006810;GO:0051641
538	GO:0051640;GO:0016192;GO:0051641
539	GO:0016192;GO:0009057;GO:0006508;GO:0007032;GO:0015031
540	GO:0002376;GO:0065009;GO:0051641;GO:0006793;GO:0022607;GO:0036211;GO:0050789;GO:0050896
541	GO:0050789;GO:0050896
543	GO:0050789;GO:0006351
545	GO:0022607;GO:0007155
548	GO:0050789;GO:0006996;GO:0051261
549	GO:0032501;GO:0006996;GO:0022607;GO:0032989;GO:0032502
550	GO:0036211
551	GO:0009057;GO:0006508;GO:0036211
552	GO:0036211
554	GO:0050789;GO:0032501;GO:0032502
557	GO:0007029
558	GO:0009057;GO:0015031;GO:0006508;GO:0050896
559	GO:0050789;GO:0006351;GO:0032502;GO:0065009
560	GO:0050789;GO:0036211
564	GO:0006811
566	GO:0006629;GO:0006082;GO:0007155
568	GO:0009057;GO:0006508
569	GO:0007049;GO:0050789;GO:0036211
570	GO:0050789
574	GO:0051640;GO:0007059;GO:0051276;GO:0051234
575	GO:0051640;GO:0006810;GO:0006996;GO:0051641
577	GO:0016192;GO:0050789;GO:0050877
578	GO:0050789;GO:0065009
579	GO:0050789
